phi,theta,psi,x,y,z
-2.912244510709397,-0.10807205397066835,-0.10807205397066835,-0.10807205397066835,-0.10807205397066835,-0.10807205397066835
-2.88041995079814,-0.15400754072630293,-0.15400754072630293,-0.15400754072630293,-0.15400754072630293,-0.15400754072630293
-2.8998763688895686,-0.13493530136942639,-0.13493530136942639,-0.13493530136942639,-0.13493530136942639,-0.13493530136942639
-2.9312330543046636,-0.07654604252504629,-0.07654604252504629,-0.07654604252504629,-0.07654604252504629,-0.07654604252504629
-2.9271039494552906,-0.06611462111190998,-0.06611462111190998,-0.06611462111190998,-0.06611462111190998,-0.06611462111190998
-2.83258771603423,-0.1643491454860345,-0.1643491454860345,-0.1643491454860345,-0.1643491454860345,-0.1643491454860345
-2.8929372781637754,-0.10977513277949212,-0.10977513277949212,-0.10977513277949212,-0.10977513277949212,-0.10977513277949212
-2.8973727964807763,-0.13939260107777768,-0.13939260107777768,-0.13939260107777768,-0.13939260107777768,-0.13939260107777768
-2.8949729111329825,-0.17114929824145436,-0.17114929824145436,-0.17114929824145436,-0.17114929824145436,-0.17114929824145436
-2.9166253415573817,-0.16301085031045529,-0.16301085031045529,-0.16301085031045529,-0.16301085031045529,-0.16301085031045529
-2.926935591597409,-0.1800312585633961,-0.1800312585633961,-0.1800312585633961,-0.1800312585633961,-0.1800312585633961
-2.961238386786943,-0.11922648216376056,-0.11922648216376056,-0.11922648216376056,-0.11922648216376056,-0.11922648216376056
-2.960124740695997,-0.10308103155065113,-0.10308103155065113,-0.10308103155065113,-0.10308103155065113,-0.10308103155065113
-2.9991470306112875,-0.06014404785549711,-0.06014404785549711,-0.06014404785549711,-0.06014404785549711,-0.06014404785549711
-3.0150673937263,-0.04169442763265243,-0.04169442763265243,-0.04169442763265243,-0.04169442763265243,-0.04169442763265243
